"filename", "language", "HTML", "CSS", "comment", "blank", "total"
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\admin-sign-in.html", "HTML", 105, 0, 0, 6, 111
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\admin.html", "HTML", 236, 0, 7, 5, 248
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\cart.html", "HTML", 267, 0, 10, 16, 293
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\admin-styles.css", "CSS", 0, 383, 6, 64, 453
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\cart.css", "CSS", 0, 635, 20, 129, 784
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\main_responsive.css", "CSS", 0, 454, 28, 111, 593
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\order-management-styles.css", "CSS", 0, 276, 4, 48, 328
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\product-listing-styles.css", "CSS", 0, 272, 7, 48, 327
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\styles.css", "CSS", 0, 767, 23, 131, 921
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\index.html", "HTML", 576, 0, 18, 21, 615
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\order_management.html", "HTML", 158, 0, 6, 4, 168
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\product-details.html", "HTML", 366, 0, 1, 22, 389
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\product-listing.html", "HTML", 232, 0, 32, 20, 284
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\profile.html", "HTML", 503, 0, 6, 50, 559
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\signup-signin.html", "HTML", 417, 0, 9, 35, 461
"Total", "-", 2860, 2787, 177, 710, 6534
