"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\LeatherBoots.html", "HTML", 671, 0, 0, 14, 17, 702
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\SpringStyling.html", "HTML", 862, 0, 0, 19, 22, 903
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\admin-sign-in.html", "HTML", 105, 0, 0, 0, 6, 111
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\admin.html", "HTML", 236, 0, 0, 7, 5, 248
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\cart.html", "HTML", 270, 0, 0, 11, 16, 297
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\checkout.html", "HTML", 807, 0, 0, 6, 47, 860
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\admin-styles.css", "CSS", 0, 0, 383, 6, 64, 453
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\cart.css", "CSS", 0, 0, 635, 20, 129, 784
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\main_responsive.css", "CSS", 0, 0, 454, 28, 111, 593
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\order-management-styles.css", "CSS", 0, 0, 276, 4, 48, 328
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\product-listing-styles.css", "CSS", 0, 0, 272, 7, 48, 327
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\css\styles.css", "CSS", 0, 0, 767, 23, 131, 921
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\index.html", "HTML", 586, 0, 0, 20, 22, 628
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\admin-script.js", "JavaScript", 0, 136, 0, 10, 12, 158
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\admin-sign-in-script.js", "JavaScript", 0, 28, 0, 2, 4, 34
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\cart.js", "JavaScript", 0, 234, 0, 3, 20, 257
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\hash-password.js", "JavaScript", 0, 10, 0, 0, 2, 12
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\order-management-script.js", "JavaScript", 0, 8, 0, 3, 2, 13
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\product-details-script.js", "JavaScript", 0, 123, 0, 11, 20, 154
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\product-listing-script.js", "JavaScript", 0, 106, 0, 17, 17, 140
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\script.js", "JavaScript", 0, 64, 0, 12, 16, 92
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\session-saving.js", "JavaScript", 0, 103, 0, 14, 7, 124
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\js\signup-signin.js", "JavaScript", 0, 276, 0, 13, 33, 322
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\order-confirmation.html", "HTML", 502, 0, 0, 3, 41, 546
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\order_management.html", "HTML", 158, 0, 0, 6, 4, 168
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\product-details.html", "HTML", 448, 0, 0, 1, 31, 480
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\product-listing.html", "HTML", 232, 0, 0, 32, 20, 284
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\profile.html", "HTML", 503, 0, 0, 6, 50, 559
"f:\Bahria University On Campus\BSE-4A\DBMS-Lab\Project\DBMS-Project\public\signup-signin.html", "HTML", 417, 0, 0, 9, 35, 461
"Total", "-", 5797, 1088, 2787, 307, 980, 10959
